task,lang,f2p_total,gpt55_solved,gpt55_f2p,gpt55_prog,gpt55_prog_miss,gpt55_n,glm52_solved,glm52_f2p,glm52_prog,glm52_prog_miss,glm52_n
dynamodb-toolbox-conditional-attribute-requirements,typescript,31,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
dynamodb-toolbox-lazy-recursive-schemas,typescript,37,2/4,2/4,0.5,0.0,4,3/4,3/4,0.75,0.0,4
effect-sse-httpapi-streaming,typescript,47,2/4,2/4,0.5,0.0,4,0/4,0/4,0.0,0.0,4
eicrud-keyset-pagination-cursor,typescript,14,3/4,3/4,0.75,0.0,4,4/4,4/4,1.0,,4
etree-xml-diff-patch,go,52,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
expr-try-catch-errors,go,79,1/4,1/4,0.99,0.987,4,1/4,1/4,0.934,0.911,4
fastapi-deprecation-response-headers,python,137,4/4,4/4,1.0,,4,2/4,2/4,0.672,0.343,4
fastapi-implicit-head-options,python,43,4/4,4/4,1.0,,4,3/4,3/4,0.837,0.349,4
fd-deterministic-multi-key-sorting,rust,43,4/4,4/4,1.0,,4,1/4,1/4,0.761,0.681,4
geo-shapeindex-serialization,go,24,4/4,4/4,1.0,,4,2/4,2/4,0.958,0.917,4
go-critic-doc-link-checker,go,3,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
go-genai-streamed-function-args,go,6,4/4,4/4,1.0,,4,3/4,3/4,0.875,0.5,4
go-git-worktree-merge-conflicts,go,17,4/4,4/4,1.0,,4,3/4,3/4,0.985,0.941,4
goreleaser-retry-publish-auditing,go,29,-,-,-,-,0,1/4,1/4,0.81,0.747,4
gql-incremental-graphql-delivery,python,17,0/4,0/4,1.0,1.0,4,1/4,1/4,1.0,1.0,4
happy-dom-abort-pending-body-reads,typescript,14,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
happy-dom-deterministic-intersectionobserver,typescript,14,1/4,1/4,0.25,0.0,4,0/4,0/4,0.0,0.0,4
helm-array-merge-strategies,go,47,0/4,0/4,0.979,0.979,4,0/4,0/4,0.963,0.963,4
helm-unified-manifest-stream,go,5,4/4,4/4,1.0,,4,2/4,2/4,0.9,0.8,4
httpx-deterministic-cookie-store,typescript,115,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
httpx-multipart-response-parsing,python,122,4/4,4/4,1.0,,4,0/4,0/4,0.0,0.0,4
httpx-streaming-json-iteration,python,108,3/4,3/4,0.998,0.991,4,2/4,2/4,0.995,0.991,4
igel-persist-feature-schema,python,24,0/4,0/4,0.25,0.25,4,4/4,4/4,1.0,,4
ink-grid-box-layout,typescript,25,0/4,0/4,0.0,0.0,4,1/4,1/4,0.25,0.0,4
ipython-session-bundle-replay,python,17,2/4,2/4,0.882,0.765,4,2/4,2/4,0.912,0.824,4
katex-multicolumn-array-spans,javascript,94,1/4,1/4,0.25,0.0,4,2/4,2/4,0.5,0.0,4
kcp-go-multiplexed-kcp-streams,go,30,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
kea-atomic-signal-selectors,typescript,12,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
kgateway-consistent-hash-policy,go,2,4/4,4/4,1.0,,4,0/4,0/4,0.5,0.5,4
kombu-single-active-consumer-priority,python,85,4/4,4/4,1.0,,4,1/4,1/4,1.0,1.0,4
kombu-virtual-queue-dead-lettering,python,76,0/4,0/4,1.0,1.0,4,0/4,0/4,0.908,0.908,4
koota-composite-trait-aspects,typescript,51,4/4,4/4,1.0,,4,3/4,3/4,0.75,0.0,4
koota-deferred-mutation-buffer,typescript,71,3/4,3/4,0.75,0.0,4,0/4,0/4,0.0,0.0,4
koota-entity-snapshot-rollback,python,84,4/4,4/4,1.0,,4,3/4,3/4,1.0,1.0,4
koota-pair-relation-tracking,typescript,38,2/4,2/4,0.5,0.0,4,2/4,2/4,0.5,0.0,4
koota-query-predicates,typescript,43,2/4,2/4,0.5,0.0,4,0/4,0/4,0.0,0.0,4
kysely-window-grouping-helpers,typescript,254,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
langchain-request-coalescing,python,50,3/4,3/4,0.995,0.98,4,0/3,0/3,0.94,0.94,3
mashumaro-flattened-dataclass-fields,python,66,3/4,4/4,1.0,1.0,4,1/4,1/4,0.992,0.99,4
meriyah-explicit-resource-declarations,typescript,49,2/4,2/4,0.5,0.0,4,2/4,2/4,0.5,0.0,4
mnamer-daemon-watch-lifecycle,python,51,4/4,4/4,1.0,,4,3/3,3/3,1.0,,3
mobly-grouped-test-barriers,python,79,4/4,4/4,1.0,,4,0/4,0/4,0.161,0.161,4
narwhals-rolling-window-suite,python,103,4/4,4/4,1.0,,4,0/4,4/4,1.0,1.0,4
numba-stencil-boundary-modes,python,29,4/4,4/4,1.0,,4,3/4,3/4,1.0,1.0,4
obsidian-linter-auto-table-of-contents,typescript,41,2/4,2/4,0.5,0.0,4,0/4,0/4,0.0,0.0,4
obsidian-linter-link-format-conversion,typescript,60,0/4,0/4,0.0,0.0,4,2/4,2/4,0.5,0.0,4
obsidian-linter-scoped-ignore-markers,typescript,33,3/4,3/4,0.75,0.0,4,2/4,2/4,0.5,0.0,4
ofetch-per-origin-circuit-breaker,typescript,47,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
onedump-dump-encryption-pipeline,go,82,1/4,1/4,0.915,0.886,4,1/4,1/4,0.698,0.598,4
opa-rego-rule-profiling,go,25,-,-,-,-,0,2/4,2/4,0.98,0.96,4
opa-template-string-reconstruction,go,5,2/4,2/4,0.5,0.0,4,4/4,4/4,1.0,,4
optique-conditional-option-dependencies,typescript,36,3/4,3/4,0.75,0.0,4,0/4,0/4,0.0,0.0,4
oxvg-structural-selector-preservation,rust,6,1/4,1/4,0.85,0.8,4,0/4,0/4,0.575,0.575,4
participle-grammar-conflict-analysis,go,91,1/4,1/4,0.992,0.989,4,0/4,0/4,0.492,0.492,4
pebble-durability-wait-apis,go,59,4/4,4/4,1.0,,4,0/4,0/4,0.0,0.0,4
pest-character-class-coalescing,rust,104,0/4,0/4,0.978,0.978,4,2/4,2/4,0.844,0.688,4
prometheus-transactional-reload-status,typescript,15,0/4,0/4,0.0,0.0,4,0/4,0/4,0.0,0.0,4
prometheus-typed-label-sorting,go,17,2/4,2/4,0.971,0.941,4,0/4,0/4,0.221,0.221,4
psd-tools-blend-range-api,python,45,4/4,4/4,1.0,,4,2/4,2/4,0.95,0.9,4
pwntools-tube-multiplexing,python,73,1/4,1/4,0.976,0.968,4,0/2,0/2,0.986,0.986,2
python-statemachine-state-data-scoping,python,72,2/4,3/4,0.986,0.972,4,2/4,2/4,0.771,0.542,4
query-persist-restored-query-state,typescript,8,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
quill-shared-toolbar-focus,typescript,13,0/4,0/4,0.0,0.0,4,0/4,0/4,0.0,0.0,4
returns-validated-error-accumulation,python,159,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
scc-bounded-memory-spilling,go,31,3/4,3/4,0.976,0.903,4,3/4,3/4,0.976,0.903,4
scriggo-method-declarations,go,48,3/4,3/4,0.995,0.979,4,3/4,3/4,0.995,0.979,4
skrub-duration-encoding,python,130,4/4,4/4,1.0,,4,0/4,3/4,0.994,0.994,4
sql-formatter-bigquery-pipe-formatting,typescript,26,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
sqlfmt-create-table-ddl-formatting,python,32,3/4,3/4,1.0,1.0,4,2/4,2/4,1.0,1.0,4
sqlite-utils-safe-import-checkpoints,python,60,3/4,3/4,0.992,0.967,4,1/4,1/4,0.896,0.861,4
superjson-error-stack-serialization,typescript,80,3/4,3/4,0.75,0.0,4,0/4,0/4,0.0,0.0,4
task-task-graph-export,go,20,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
tengo-callable-instance-isolation,go,23,4/4,4/4,1.0,,4,3/4,3/4,0.989,0.957,4
tengo-destructuring-bindings,go,91,4/4,4/4,1.0,,4,2/4,2/4,0.736,0.473,4
termenv-preserve-ansi-resets,go,35,2/4,2/4,0.986,0.971,4,0/4,0/4,0.443,0.443,4
testem-bail-on-test-failure,javascript,90,2/4,2/4,0.982,0.964,4,0/4,0/4,0.884,0.884,4
testem-per-launcher-reports,javascript,65,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
textual-kitty-key-phases,python,23,3/4,3/4,0.989,0.957,4,0/4,0/4,0.543,0.543,4
textual-richlog-follow-state,python,20,3/4,3/4,1.0,1.0,4,0/4,0/4,0.975,0.975,4
tomlkit-toml-table-converters,python,60,4/4,4/4,1.0,,4,4/4,4/4,1.0,,4
true-myth-iterable-collection-combinators,typescript,96,4/4,4/4,1.0,,4,1/4,1/4,0.25,0.0,4
ts-pattern-match-each,typescript,85,4/4,4/4,1.0,,4,3/4,3/4,0.75,0.0,4
updo-policy-alerting,go,17,3/4,3/4,0.985,0.941,4,0/4,0/4,0.706,0.706,4
valibot-recursive-schema-composition,typescript,10,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
vitest-duration-sharding,typescript,56,4/4,4/4,1.0,,4,0/4,0/4,0.0,0.0,4
vulture-persistent-analysis-cache,python,24,4/4,4/4,1.0,,4,3/4,3/4,0.979,0.917,4
wasmi-trap-coredumps,rust,22,4/4,4/4,1.0,,4,2/4,2/4,0.761,0.523,4
wazero-multi-module-snapshots,go,78,3/4,3/4,0.994,0.974,4,2/4,2/4,0.978,0.955,4
yaegi-go-embed-directives,go,38,4/4,4/4,1.0,,4,2/4,2/4,0.743,0.487,4
yjs-map-conflict-detection,javascript,9,4/4,4/4,1.0,,4,2/4,2/4,0.5,0.0,4
ytt-jsonpath-query-api,go,103,3/4,3/4,0.99,0.961,4,4/4,4/4,1.0,,4
